,name,num_holders
168,Covalent Token (COVA),"31,826"
169,Bluzelle (BLZ),"27,629"
170,CargoX (CXO),"3,631"
171,XY Oracle (XYO),"42,271"
172,BOSAGORA (BOA),"1,067"
173,STAKE (STAKE),"10,910"
174,Aergo (AERGO),"5,190"
175,Nuls (NULS),36
176,Hegic (HEGIC),"5,249"
177,Dusk Network (DUSK),"15,291"
178,BLOCKv (VEE),"7,592"
179,pTokens BTC (pBTC),767
180,Student Coin (STC),"8,487"
181,dForce (DF),"1,759"
182,SENTinel (SENT),"2,725"
183,Guaranteed Entrance Token (GET),"13,188"
184,Sai Stablecoin v1.0 (SAI),"177,921"
185,BTU Protocol (BTU),"2,506"
186,NimiqNetwork (NET),"3,112"
187,Request (REQ),"38,366"
188,PlatonCoin (PLTC),"1,188"
189,Veritaseum (VERI),"22,744"
190,MCDEX Token (MCB),"2,349"
191,DGD (DGD),"8,563"
192,Shopping.io (SPI),"15,354"
193,Darwinia Network Native Token (RING),"8,425"
194,Metronome (MET),"3,643"
195,Dragon (DRGN),"39,720"
196,WaykiCoin (WIC),"39,684"
197,DSLA (DSLA),"9,364"
198,MANTRA DAO (OM),"7,385"
199,mStable USD (mUSD),"5,133"
200,TORN Token (TORN),"6,819"
201,PAID Network (PAID),"15,691"
202,UniLend Finance Token (UFT),"4,958"
203,OCC (OCC),"7,412"
204,BitMartToken (BMC),"8,557"
205,VesperToken (VSP),"5,424"
206,USDK (USDK),"3,567"
207,ViteToken (VITE),"7,127"
208,Hotbit Token (HTB),"1,078"
209,Fusion (FSN),"9,524"
210,Bifrost (BFC),"2,573"
211,Ultiledger (ULT),"10,140"
212,tBTC (TBTC),836
213,Cashaa (CAS),"12,648"
214,Cortex Coin (CTXC),"22,578"
215,Switcheo Token (SWTH),13
216,Armor (ARMOR),"15,398"
217,QASH (QASH),"12,761"
218,Spice (SFI),"14,209"
219,ZBToken (ZB),"21,483"
220,Cardstack (CARD),"6,499"
221,Frontier Token (FRONT),"9,359"
222,Morpheus.Network (MRPH),"9,334"
223,Moss Coin (MOC),"6,581"
224,HOPR Token (HOPR),"5,918"
225,RED MWAT (MWAT),"64,450"
226,Somnium Space Cubes (CUBE),"1,151"
227,BetProtocolToken (BEPRO),"8,215"
228,Empty Set Dollar (ESD),"1,927"
229,All Sports Coin (SOC),"22,966"
230,Aurora DAO (AURA),"42,059"
231,AirSwap (AST),"12,155"
232,Gifto (GTO),"121,982"
233,pNetwork Token (PNT),"8,907"
234,Quantstamp (QSP),"43,348"
235,Cindicator (CND),"28,820"
236,BZ (BZ),"1,081"
237,Meta (MTA),"7,008"
238,Route (ROUTE),"1,533"
239,SelfKey (KEY),"12,930"
240,PoolTogether (POOL),"7,334"
241,ICONOMI (ICN),"14,528"
242,Sentivate (SNTVT),"6,301"
243,ERC20 (ERC20),"98,123"
244,RipioCreditNetwork (RCN),"23,621"
245,AIOZ Network (AIOZ),"10,785"
246,Salt (SALT),"68,426"
247,CocosToken (COCOS),"14,023"
248,Darico Ecosystem Coin (DEC),"4,974"
249,veCRV-DAO yVault (yveCRV-DAO),581
250,Lambda (LAMB),"15,388"
251,LikeCoin (LIKE),"15,305"
252,Tierion Network Token (TNT),"22,849"
253,0chain (ZCN),"24,684"
254,TE-FOOD/TustChain (TONE),"10,038"
255,Walton (WTC),"26,169"
256,Spendcoin (SPND),"11,547"
257,Atomic Wallet Token (AWC),"45,061"
258,Proton (XPR),"10,459"
259,UNIC (UNIC),250
260,QRL (QRL),"2,509"
261,Morpheus Infrastructure Token (MITx),"111,398"
262,ZTCoin (ZT),"42,534"
263,Dentacoin (Dentacoin),"51,676"
264,Lamden Tau (TAU),"8,180"
265,Tranche Finance (SLICE),"4,354"
266,Measurable Data Token (MDT),"25,798"
267,Raiden (RDN),"15,261"
268,Oraichain Token (ORAI),"9,072"
269,TIME (TIME),"3,995"
270,Nebulas (NAS),"14,481"
271,UnmarshalToken (MARSH),"3,629"
272,CRPT (CRPT),"2,040"
273,FOAM Token (FOAM),"3,287"
274,Launchpool token (LPOOL),"9,021"
275,LCX (LCX),"6,622"
276,Blank Token (BLANK),"6,734"
277,TokenClub Token (TCT),"22,783"
278,KAN (KAN),"54,084"
279,Pendle (PENDLE),"1,165"
280,Free Coin (FREE),"46,079"
281,Coinvest COIN V3 Token (COIN),"4,451"
282,OVR (OVR),"10,553"
283,SpaceChain (SPC),938
284,BAX (BAX),"14,148"
285,MEDX TOKEN (MEDX),"2,735"
286,Blockport (BPT),"9,058"
287,QNTU (QNTU),"9,890"
288,ArcBlock (ABT),"17,778"
289,dHedge DAO Token (DHT),"3,378"
290,SAN (SAN),"2,438"
291,ELYSIA (EL),"2,329"
292,ETERNAL TOKEN (XET),"9,033"
293,Moeda Loyalty Points (MDA),"3,876"
294,Digg (DIGG),"5,208"
295,Propy (PRO),"9,745"
296,Genesis Vision (GVT),"7,373"
297,Presearch (PRE),"9,374"
298,CoinDash Token (CDT),"16,621"
