name,symbol,circulating-supply,market-cap,24h-price-change,7d-price-change,price,volume
Shard,SHARD,"36,000,000 SHARD","$9.08M $9,083,887",4.67%,14.70%,$0.25 ,$3 12 SHARD
MixMarvel,MIX,"4,310,656,872 MIX","$9.07M $9,069,905",21.85%,34.17%,$0.00 ,"$489,111 232,459,767 MIX"
Ubiq,UBQ,"42,609,099 UBQ","$9.02M $9,021,472",11.20%,27.25%,$0.21 ,"$25,238 119,201 UBQ"
Origin Dollar,OUSD,"9,002,927 OUSD","$9.01M $9,011,778",0.43%,0.80%,$1.00 ,"$184,366 184,185 OUSD"
UnMarshal,MARSH,"7,096,098 MARSH","$9.00M $8,999,334",11.13%,37.64%,$1.27 ,"$866,432 683,194 MARSH"
ROOBEE,ROOBEE,"2,501,192,519 ROOBEE","$8.97M $8,966,962",19.43%,32.40%,$0.00 ,"$1,006,908 280,860,973 ROOBEE"
Meme,MEME,"28,000 MEME","$8.48M $8,483,803",10.05%,37.44%,$302.99 ,"$2,873,501 9,484 MEME"
Arcblock,ABT,"98,554,305 ABT","$8.83M $8,833,217",18.21%,29.18%,$0.09 ,"$7,532,793 84,045,165 ABT"
EXMO Coin,EXM,"107,375,446 EXM","$8.88M $8,879,698",4.03%,11.07%,$0.08 ,"$401,242 4,851,915 EXM"
ZBG Token,ZT,"262,958,277 ZT","$8.73M $8,734,130",2.98%,8.87%,$0.03 ,"$149,150 4,490,448 ZT"
LiquidApps,DAPP,"709,902,294 DAPP","$8.74M $8,735,909",17.64%,36.66%,$0.01 ,"$12,011 976,071 DAPP"
Lattice Token,LTX,"28,653,896 LTX","$8.67M $8,668,929",8.98%,23.49%,$0.30 ,"$546,386 1,805,999 LTX"
Oraichain Token,ORAI,"2,058,811 ORAI","$8.60M $8,598,775",21.50%,53.72%,$4.18 ,"$379,248 90,804 ORAI"
Einsteinium,EMC2,"221,778,288 EMC2","$8.47M $8,465,949",26.31%,57.94%,$0.04 ,"$116,888 3,062,061 EMC2"
Tixl,TXL,"54,075,497 TXL","$8.51M $8,511,954",2.36%,12.95%,$0.16 ,"$257,856 1,638,131 TXL"
OAX,OAX,"76,215,394 OAX","$8.49M $8,494,729",15.57%,29.72%,$0.11 ,"$148,679 1,333,962 OAX"
Levolution,LEVL,"95,000,643 LEVL","$8.49M $8,492,305",3.11%,15.97%,$0.09 ,"$98,353 1,100,240 LEVL"
Tokamak Network,TON,"2,727,340 TON","$8.40M $8,395,795",24.23%,50.57%,$3.08 ,--
Archer DAO Governance Token,ARCH,"11,944,931 ARCH","$8.26M $8,264,265",20.52%,42.94%,$0.69 ,"$1,099,045 1,588,529 ARCH"
DMarket,DMT,"56,921,773 DMT","$8.41M $8,410,685",0.95%,43.27%,$0.15 ,"$3,639 24,629 DMT"
ALLY,ALY,"2,300,000,000 ALY","$8.36M $8,362,408",18.00%,52.11%,$0.00 ,"$58,654 16,132,193 ALY"
Safe,SAFE,"20,835,499 SAFE","$8.34M $8,340,728",0.08%,19.98%,$0.40 ,--
ICHI,ICHI,"3,037,085 ICHI","$8.23M $8,228,137",10.15%,31.25%,$2.71 ,"$101,642 37,517 ICHI"
Lightning Bitcoin,LBTC,"3,860,808 LBTC","$8.33M $8,332,153",4.87%,1.97%,$2.16 ,"$352,161 163,178 LBTC"
Swerve,SWRV,"13,042,029 SWRV","$8.26M $8,257,905",20.24%,30.90%,$0.63 ,"$5,473,126 8,643,919 SWRV"
High Performance Blockchain,HPB,"73,069,950 HPB","$8.28M $8,284,705",20.25%,32.16%,$0.11 ,"$475,930 4,197,637 HPB"
WePower,WPR,"688,788,616 WPR","$8.25M $8,247,983",15.18%,32.59%,$0.01 ,"$132,551 11,069,321 WPR"
NIX,NIX,"49,203,771 NIX","$8.21M $8,214,174",0.19%,45.81%,$0.17 ,"$51,302 307,306 NIX"
apM Coin,APM,"361,875,000 APM","$8.10M $8,100,276",1.95%,10.92%,$0.02 ,"$399,875 17,864,166 APM"
Hakka.Finance,HAKKA,"222,312,514 HAKKA","$8.10M $8,102,843",6.88%,18.35%,$0.04 ,"$212,345 5,825,973 HAKKA"
Tachyon Protocol,IPX,"266,858,531 IPX","$8.04M $8,039,469",12.14%,8.34%,$0.03 ,"$2,431,866 80,722,254 IPX"
FirmaChain,FCT,"184,275,043 FCT","$8.06M $8,057,986",27.32%,45.89%,$0.04 ,"$1,489,114 34,053,995 FCT"
ClinTex CTi,CTI,"114,445,175 CTI","$8.08M $8,080,251",2.70%,31.25%,$0.07 ,"$1,312,200 18,585,432 CTI"
EUNO,EUNO,"6,236,787,734 EUNO","$8.06M $8,062,933",1.77%,17.72%,$0.00 ,"$19,664 15,210,314 EUNO"
Oxbull.tech,OXB,"7,501,504 OXB","$7.97M $7,974,328",27.50%,54.46%,$1.06 ,"$6,260 5,888 OXB"
Opium,OPIUM,"4,161,204 OPIUM","$7.97M $7,973,015",7.16%,22.11%,$1.92 ,"$58,872,056 30,725,970 OPIUM"
PolySwarm,NCT,"1,546,457,130 NCT","$7.96M $7,961,655",8.23%,17.48%,$0.01 ,"$64,334 12,496,163 NCT"
Folgory Coin,FLG,"17,525,493 FLG","$7.93M $7,931,633",3.13%,19.84%,$0.45 ,"$107,966 238,559 FLG"
Pancake Bunny,BUNNY,"510,232 BUNNY","$7.84M $7,841,857",11.39%,23.40%,$15.37 ,"$10,299,070 670,111 BUNNY"
Casino Betting Coin,CBC,"155,864,701 CBC","$7.81M $7,809,269",8.84%,19.09%,$0.05 ,"$19,262 384,449 CBC"
EasyFi,EASY,"2,524,834 EASY","$7.75M $7,750,219",13.11%,35.22%,$3.07 ,"$625,161 203,662 EASY"
Diamond,DMD,"3,607,083 DMD","$7.80M $7,800,644",3.66%,19.50%,$2.16 ,"$16,350 7,560 DMD"
Crowns,CWS,"1,488,438 CWS","$7.76M $7,762,571",16.55%,33.91%,$5.22 ,"$1,056,222 202,526 CWS"
Aragon Court,ANJ,"122,645,461 ANJ","$7.72M $7,715,673",12.07%,28.44%,$0.06 ,"$1,660 26,385 ANJ"
PieDAO DOUGH v2,DOUGH,"15,077,132 DOUGH","$7.41M $7,412,035",3.15%,26.29%,$0.49 ,"$109,522 222,783 DOUGH"
Graphlinq Protocol,GLQ,"339,999,895 GLQ","$7.67M $7,667,769",8.32%,34.38%,$0.02 ,"$1,048,059 46,472,447 GLQ"
TOP,TOP,"5,512,414,943 TOP","$7.58M $7,583,244",19.12%,32.11%,$0.00 ,"$388,801 282,627,341 TOP"
Litecoin Cash,LCC,"728,597,950 LCC","$7.66M $7,658,970",2.91%,37.87%,$0.01 ,"$2,011 191,337 LCC"
Dora Factory,DORA,"1,561,334 DORA","$7.61M $7,611,896",16.06%,36.77%,$4.88 ,"$7,630,570 1,565,164 DORA"
CyberMiles,CMT,"800,000,000 CMT","$7.56M $7,563,286",21.43%,35.35%,$0.01 ,"$2,617,045 276,815,619 CMT"
Everex,EVX,"22,700,000 EVX","$7.58M $7,577,551",15.42%,36.60%,$0.33 ,"$241,934 724,761 EVX"
PowerTrade Fuel,PTF,"23,311,586 PTF","$8.11M $8,114,857",14.99%,36.30%,$0.35 ,"$190,650 547,682 PTF"
Pillar,PLR,"259,348,201 PLR","$7.56M $7,563,842",5.29%,25.38%,$0.03 ,"$3,197 109,623 PLR"
Credits,CS,"223,456,423 CS","$7.44M $7,443,229",12.29%,38.99%,$0.03 ,"$399,787 12,002,170 CS"
τBitcoin,ΤBTC,310 ΤBTC,"$7.55M $7,549,078",15.30%,33.48%,"$24,351.86 ","$597,769 25 ΤBTC"
Realio Network,RIO,"6,568,515 RIO","$7.52M $7,523,556",6.59%,26.83%,$1.15 ,"$678,015 591,948 RIO"
Caspian,CSP,"449,036,296 CSP","$7.43M $7,425,393",18.72%,27.41%,$0.02 ,"$351,186 21,237,283 CSP"
ReapChain,REAP,"70,500,000 REAP","$7.44M $7,438,587",5.20%,1.16%,$0.11 ,"$201,416 1,908,945 REAP"
Konomi Network,KONO,"17,405,779 KONO","$7.41M $7,413,432",10.05%,55.57%,$0.43 ,"$1,267,598 2,976,156 KONO"
Kryll,KRL,"31,688,781 KRL","$7.39M $7,387,528",5.09%,20.81%,$0.23 ,"$151,625 650,393 KRL"
Achain,ACT,"991,999,998 ACT","$7.30M $7,295,917",20.68%,26.96%,$0.01 ,"$2,404,448 326,924,340 ACT"
BitCore,BTX,"18,116,536 BTX","$7.34M $7,335,130",16.03%,30.94%,$0.40 ,"$66,703 164,745 BTX"
Bitcoin Private,BTCP,"4,785,761 BTCP","$7.34M $7,339,992",2.27%,7.55%,$1.53 ,"$1,393 908 BTCP"
Polkamon,PMON,"1,713,901 PMON","$7.39M $7,392,139",8.05%,27.71%,$4.31 ,"$545,928 126,576 PMON"
Apron Network,APN,"93,500,000 APN","$7.20M $7,197,948",29.29%,18.24%,$0.08 ,"$4,353,026 56,544,989 APN"
FIBOS,FO,"1,071,593,128 FO","$7.27M $7,271,258",1.37%,4.18%,$0.01 ,"$90,283 13,305,371 FO"
Abyss,ABYSS,"228,664,903 ABYSS","$7.17M $7,167,589",18.28%,28.77%,$0.03 ,"$582,453 18,581,780 ABYSS"
HTMLCOIN,HTML,"53,067,332,240 HTML","$7.10M $7,102,977",6.24%,19.91%,$0.00 ,"$9,593 71,669,852 HTML"
OctoFi,OCTO,"797,623 OCTO","$7.07M $7,072,300",10.06%,30.60%,$8.87 ,"$275,160 31,033 OCTO"
DEXA COIN,DEXA,"25,000,000,000 DEXA","$7.14M $7,135,542",15.27%,2.41%,$0.00 ,"$564,309 1,977,104,687 DEXA"
DeepOnion,ONION,"22,513,049 ONION","$7.05M $7,045,485",21.94%,13.73%,$0.31 ,"$14,255 45,551 ONION"
Vexanium,VEX,"733,642,279 VEX","$7.03M $7,026,275",0.37%,4.39%,$0.01 ,"$438,705 45,806,995 VEX"
POA,POA,"288,767,050 POA","$7.01M $7,008,218",17.16%,33.93%,$0.02 ,"$117,921 4,858,834 POA"
Monero Classic,XMC,"19,176,436 XMC","$7.00M $7,002,765",10.12%,22.11%,$0.37 ,"$44,947 123,084 XMC"
Curate,XCUR,"6,991,143 XCUR","$6.97M $6,968,275",18.74%,38.37%,$1.00 ,"$1,331,199 1,335,568 XCUR"
Hedget,HGET,"1,751,448 HGET","$6.81M $6,810,921",12.04%,39.06%,$3.89 ,"$305,017 78,436 HGET"
Trias Token (new),TRIAS,"1,600,000 TRIAS","$7.01M $7,010,339",12.63%,36.18%,$4.38 ,"$4,658,858 1,063,311 TRIAS"
Monetha,MTH,"402,400,000 MTH","$6.86M $6,860,393",19.54%,35.28%,$0.02 ,"$239,458 14,045,530 MTH"
AMLT,AMLT,"292,111,082 AMLT","$6.89M $6,891,384",0.33%,26.79%,$0.02 ,"$26,531 1,124,583 AMLT"
Kattana,KTN,"1,146,639 KTN","$6.85M $6,853,227",3.22%,40.26%,$5.98 ,"$533,193 89,210 KTN"
Stream Protocol,STPL,"119,599,225 STPL","$6.85M $6,848,334",23.65%,65.20%,$0.06 ,"$13,565 236,896 STPL"
Covesting,COV,"18,000,000 COV","$6.80M $6,801,608",21.64%,26.39%,$0.38 ,"$58,812 155,643 COV"
ExNetwork Token,EXNT,"63,012,955 EXNT","$6.79M $6,789,873",7.25%,25.16%,$0.11 ,"$1,172 10,873 EXNT"
Innovation Blockchain Payment,IBP,"178,387,682 IBP","$6.78M $6,777,496",17.25%,43.60%,$0.04 ,"$123,581 3,252,727 IBP"
VestChain,VEST,"3,945,951,381 VEST","$6.79M $6,790,500",13.99%,6.65%,$0.00 ,--
Viberate,VIB,"196,825,000 VIB","$6.68M $6,682,317",14.68%,27.92%,$0.03 ,"$946,567 27,880,756 VIB"
StakeCubeCoin,SCC,"7,917,513 SCC","$6.78M $6,778,314",7.34%,22.58%,$0.86 ,"$9,620 11,237 SCC"
Wagerr,WGR,"216,761,204 WGR","$6.74M $6,742,470",3.87%,28.80%,$0.03 ,"$2,583 83,033 WGR"
SwftCoin,SWFTC,"4,004,999,999 SWFTC","$6.60M $6,600,687",5.15%,9.48%,$0.00 ,"$5,937,946 3,602,878,870 SWFTC"
Grid+,GRID,"39,236,491 GRID","$6.61M $6,612,538",3.82%,30.56%,$0.17 ,"$55,620 330,032 GRID"
Ethereum Push Notification Service,PUSH,"4,551,509 PUSH","$6.71M $6,711,353",16.77%,38.75%,$1.47 ,"$1,078,677 731,537 PUSH"
USDX [Lighthouse],USDX,"3,772,661 USDX","$6.60M $6,599,585",8.62%,35.21%,$1.75 ,$173 99 USDX
UniLayer,LAYER,"20,025,123 LAYER","$6.46M $6,459,227",16.04%,36.49%,$0.32 ,"$2,592,140 8,036,243 LAYER"
Jobchain,JOB,"6,963,558,293 JOB","$6.46M $6,464,850",0.50%,4.26%,$0.00 ,"$216,399 233,092,054 JOB"
Receive Access Ecosystem,RAE,"5,765,037 RAE","$6.55M $6,546,319",7.81%,8.03%,$1.14 ,"$5,869 5,169 RAE"
Alchemy Pay,ACH,"2,510,092,907 ACH","$6.53M $6,527,652",19.93%,24.63%,$0.00 ,"$4,915,082 1,890,007,515 ACH"
UnlimitedIP,UIP,"1,334,112,918 UIP","$6.51M $6,508,238",11.62%,22.07%,$0.00 ,"$547,125 112,154,252 UIP"
Bitcoin 2,BTC2,"17,356,434 BTC2","$6.49M $6,494,522",4.83%,35.76%,$0.37 ,$9 24 BTC2
Agrello,DLT,"102,735,765 DLT","$6.49M $6,490,856",14.15%,33.20%,$0.06 ,"$211,043 3,340,343 DLT"
Basis Cash,BAC,"54,723,614 BAC","$6.45M $6,454,111",1.63%,17.86%,$0.12 ,"$42,706 362,101 BAC"
Yap Stone,YAP,"150,000,000 YAP","$6.47M $6,473,299",0.10%,1.33%,$0.04 ,"$175,120 4,057,895 YAP"
Lamden,TAU,"142,215,728 TAU","$6.42M $6,417,266",6.36%,10.58%,$0.05 ,"$44,958 996,325 TAU"
PIN,PIN,"152,351,008 PIN","$6.35M $6,352,724",14.66%,0.67%,$0.04 ,"$4,598 110,269 PIN"
MOBOX,MBOX,"10,852,778 MBOX","$6.42M $6,416,772",12.81%,37.64%,$0.59 ,"$1,735,990 2,936,105 MBOX"
MoonSwap,MOON,"22,751,497 MOON","$6.42M $6,416,422",13.55%,41.36%,$0.28 ,"$1,718 6,092 MOON"
YOYOW,YOYOW,"498,771,361 YOYOW","$6.44M $6,439,626",12.29%,32.45%,$0.01 ,"$271,822 21,053,541 YOYOW"
GeoDB,GEO,"27,061,875 GEO","$6.38M $6,380,069",4.76%,11.63%,$0.24 ,"$85,027 360,653 GEO"
Cyclone Protocol,CYC,"12,862 CYC","$6.21M $6,208,267",18.83%,35.79%,$482.70 ,"$710,638 1,472 CYC"
Muse,MUSE,"508,554 MUSE","$6.29M $6,290,068",14.27%,34.42%,$12.37 ,"$184,974 14,955 MUSE"
PressOne,PRS,"284,742,628 PRS","$6.28M $6,276,327",4.52%,22.55%,$0.02 ,"$729 33,052 PRS"
Multiplier,MXX,"98,105,632 MXX","$6.27M $6,270,536",5.64%,27.60%,$0.06 ,"$15,284 239,119 MXX"
Orient Walt,HTDF,"92,944,196 HTDF","$6.24M $6,238,409",1.33%,3.33%,$0.07 ,"$593,111 8,836,582 HTDF"
Matrix AI Network,MAN,"214,302,042 MAN","$6.23M $6,234,723",19.26%,32.78%,$0.03 ,"$1,236,342 42,495,960 MAN"
BLink,BLINK,"184,346,346 BLINK","$6.20M $6,199,511",18.22%,29.98%,$0.03 ,"$4,897 145,601 BLINK"
Multiplier,BMXX,"1,012,442 BMXX","$6.18M $6,176,537",11.58%,32.19%,$6.10 ,$141 23 BMXX
AS Roma Fan Token,ASR,"1,233,235 ASR","$6.10M $6,103,155",13.06%,18.92%,$4.95 ,"$2,075,510 419,388 ASR"
Mysterium,MYST,"20,033,628 MYST","$6.17M $6,172,597",3.72%,26.93%,$0.31 ,"$127,811 414,820 MYST"
HyperDAO,HDAO,"468,443,176 HDAO","$6.18M $6,183,013",3.63%,3.23%,$0.01 ,"$91,532 6,934,748 HDAO"
Ghost,GHOST,"16,674,514 GHOST","$6.16M $6,156,665",9.91%,10.32%,$0.37 ,"$264,460 716,254 GHOST"
BIKI,BIKI,"281,898,566 BIKI","$6.09M $6,091,236",6.06%,42.91%,$0.02 ,"$576,086 26,660,887 BIKI"
Duck DAO (DLP Duck Token),DUCK,"31,319,195 DUCK","$6.11M $6,109,487",11.29%,30.45%,$0.20 ,"$189,104 969,407 DUCK"
IoT Chain,ITC,"87,214,657 ITC","$6.15M $6,154,741",22.65%,38.95%,$0.07 ,"$2,133,350 30,230,254 ITC"
Non-Fungible Yearn,NFY,"74,196 NFY","$6.07M $6,070,153",7.85%,49.62%,$81.75 ,"$74,174 907 NFY"
Vanilla Network,VNLA,"659,260 VNLA","$6.06M $6,063,099",11.56%,35.87%,$9.20 ,"$58,553 6,367 VNLA"
SafeCoin,SAFE,"27,735,063 SAFE","$6.05M $6,048,586",6.84%,84.52%,$0.22 ,"$11,841 54,296 SAFE"
Etho Protocol,ETHO,"56,299,465 ETHO","$6.34M $6,341,552",5.99%,21.43%,$0.11 ,"$216,121 1,918,693 ETHO"
Mobius,MOBI,"527,998,896 MOBI","$5.96M $5,959,271",13.81%,28.37%,$0.01 ,"$34,716 3,075,853 MOBI"
TERA,TERA,"844,711,128 TERA","$5.90M $5,900,604",0.69%,20.82%,$0.01 ,"$389,697 55,787,779 TERA"
Hyve,HYVE,"25,646,075 HYVE","$5.92M $5,916,977",7.33%,20.24%,$0.23 ,"$1,146,209 4,968,038 HYVE"
Whiteheart,WHITE,"8,888 WHITE","$5.94M $5,943,770",10.09%,30.92%,$668.74 ,"$287,515 430 WHITE"
Adshares,ADS,"15,603,137 ADS","$5.92M $5,923,079",13.03%,20.63%,$0.38 ,"$108,865 286,782 ADS"
ThreeFold,TFT,"81,181,457 TFT","$5.88M $5,883,709",5.38%,10.11%,$0.07 ,"$38,299 528,435 TFT"
TrustVerse,TRV,"508,784,134 TRV","$5.86M $5,855,846",15.32%,44.70%,$0.01 ,"$173,836 15,103,680 TRV"
BinaryX,BNX,"1,255,965 BNX","$5.84M $5,835,543",14.18%,25.48%,$4.65 ,"$46,016 9,904 BNX"
CafeSwap Token,BREW,"3,748,532 BREW","$5.82M $5,822,254",10.03%,43.39%,$1.55 ,"$47,854 30,810 BREW"
DAFI Protocol,DAFI,"291,512,821 DAFI","$5.82M $5,824,790",16.88%,40.97%,$0.02 ,"$388,835 19,459,976 DAFI"
Myriad,XMY,"1,786,057,750 XMY","$5.77M $5,773,097",12.26%,20.05%,$0.00 ,"$16,161 4,999,798 XMY"
Maple,MPL,"645,931 MPL","$5.77M $5,765,704",6.57%,19.32%,$8.93 ,"$204,312 22,889 MPL"
CWV Chain,CWV,"3,540,912,311 CWV","$5.71M $5,713,474",3.95%,21.16%,$0.00 ,"$11,243 6,967,846 CWV"
Qitmeer,PMEER,"200,551,810 PMEER","$5.73M $5,733,437",29.24%,42.94%,$0.03 ,"$437,632 15,308,074 PMEER"
LABS Group,LABS,"756,966,670 LABS","$5.69M $5,686,830",1.92%,31.76%,$0.01 ,"$569,396 75,791,532 LABS"
Xaya,CHI,"46,927,129 CHI","$5.70M $5,700,460",6.89%,23.49%,$0.12 ,"$22,327 183,801 CHI"
ProximaX,XPX,"6,097,456,550 XPX","$5.72M $5,722,555",9.09%,24.69%,$0.00 ,"$110,875 118,138,657 XPX"
Saito,SAITO,"1,037,949,976 SAITO","$5.68M $5,682,027",6.10%,44.64%,$0.01 ,"$203,833 37,234,672 SAITO"
QLC Chain,QLC,"240,000,000 QLC","$5.61M $5,605,202",19.47%,38.60%,$0.02 ,"$457,339 19,582,053 QLC"
EvidenZ,BCDT,"38,064,244 BCDT","$5.60M $5,602,235",6.31%,25.80%,$0.15 ,"$240,151 1,631,700 BCDT"
DOS Network,DOS,"135,939,017 DOS","$5.58M $5,583,991",2.87%,22.13%,$0.04 ,"$297,597 7,244,836 DOS"
yieldwatch,WATCH,"10,703,440 WATCH","$5.64M $5,635,630",14.38%,29.13%,$0.53 ,$397 754 WATCH
K21,K21,"8,074,604 K21","$5.63M $5,631,125",16.96%,42.13%,$0.70 ,"$484,064 694,111 K21"
Bibox Token,BIX,"85,430,525 BIX","$5.61M $5,606,018",13.08%,22.39%,$0.07 ,"$1,863,278 28,394,628 BIX"
Spore,SPORE,"42,889,022,581,553,648 SPORE","$5.61M $5,609,884",18.12%,31.01%,<$0.00000001,"$44,763 342,226,398,651,988 SPORE"
BEPRO Network,BEPRO,"1,825,000,000 BEPRO","$5.58M $5,577,446",18.27%,40.20%,$0.00 ,"$737,304 241,253,908 BEPRO"
Venus DAI,vDAI,"274,537,625 vDAI","$5.62M $5,621,716",0.09%,0.04%,$0.02 ,--
Noku,NOKU,"31,271,504 NOKU","$5.58M $5,576,220",6.87%,32.60%,$0.18 ,"$5,357 30,043 NOKU"
Unistake,UNISTAKE,"175,911,671 UNISTAKE","$5.49M $5,488,623",9.36%,36.74%,$0.03 ,"$135,907 4,355,838 UNISTAKE"
Rainicorn,RAINI,"450,965,050 RAINI","$5.56M $5,564,758",19.16%,41.29%,$0.01 ,"$119,360 9,672,893 RAINI"
Meter Governance,MTRG,"2,318,338 MTRG","$5.57M $5,568,302",6.03%,24.45%,$2.40 ,"$604,982 251,881 MTRG"
Quiztok,QTCON,"787,488,849 QTCON","$5.56M $5,558,822",19.43%,64.01%,$0.01 ,"$573,882 81,298,810 QTCON"
AMEPAY,AME,"250,000,000 AME","$5.54M $5,543,650",14.30%,32.24%,$0.02 ,"$134,443 6,062,913 AME"
Circuits of Value,COVAL,"1,000,000,000 COVAL","$5.52M $5,517,431",10.01%,40.36%,$0.01 ,"$6,986 1,266,139 COVAL"
smARTOFGIVING,AOG,"73,780,484 AOG","$5.53M $5,527,345",0.07%,0.08%,$0.07 ,"$5,636 75,233 AOG"
Autonio,NIOX,"88,148,559 NIOX","$5.51M $5,512,937",16.50%,34.00%,$0.06 ,"$253,363 4,051,127 NIOX"
Plasma Finance,PPAY,"123,116,295 PPAY","$5.51M $5,509,812",25.96%,40.79%,$0.04 ,"$621,731 13,892,531 PPAY"
Decentr,DEC,"73,768,580 DEC","$5.49M $5,485,795",23.98%,42.63%,$0.07 ,"$670,463 9,015,851 DEC"
Trabzonspor Fan Token,TRA,"2,356,284 TRA","$5.39M $5,393,295",7.67%,7.63%,$2.28 ,"$1,451,674 634,224 TRA"
WebDollar,WEBD,"13,353,729,371 WEBD","$5.49M $5,492,119",0.19%,44.99%,$0.00 ,"$118,612 288,397,410 WEBD"
YGGDRASH,YEED,"6,561,014,608 YEED","$5.44M $5,439,934",7.64%,26.14%,$0.00 ,"$533,653 643,629,555 YEED"
Gleec,GLEEC,"20,854,860 GLEEC","$5.28M $5,279,325",20.72%,27.31%,$0.25 ,"$752,293 2,971,774 GLEEC"
Plian,PI,"825,907,341 PI","$5.28M $5,276,416",14.48%,48.62%,$0.01 ,"$103,756 16,240,774 PI"
Venus DOT,vDOT,"16,649,243 vDOT","$5.22M $5,220,579",15.24%,38.06%,$0.31 ,--
CONUN,CON,"2,897,405,859 CON","$5.38M $5,377,954",26.16%,48.15%,$0.00 ,"$575,013 309,791,886 CON"
Polkamarkets,POLK,"22,900,000 POLK","$5.11M $5,113,483",10.90%,40.57%,$0.22 ,"$238,604 1,068,555 POLK"
Valor Token,VALOR,"20,036,000 VALOR","$5.19M $5,189,211",10.34%,25.43%,$0.26 ,"$513,287 1,981,846 VALOR"
Horizon Protocol,HZN,"40,000,000 HZN","$5.15M $5,149,097",22.44%,37.45%,$0.13 ,"$172,542 1,340,364 HZN"
PumaPay,PMA,"30,796,432,231 PMA","$5.09M $5,092,347",4.31%,36.16%,$0.00 ,"$660,016 3,991,503,994 PMA"
Egretia,EGT,"4,218,701,582 EGT","$5.10M $5,095,505",20.76%,36.02%,$0.00 ,"$2,984,120 2,470,630,886 EGT"
Zigcoin,ZIG,"126,149,666 ZIG","$5.13M $5,133,131",7.95%,23.23%,$0.04 ,"$488,503 12,005,233 ZIG"
MahaDAO,MAHA,"1,707,493 MAHA","$5.12M $5,118,618",0.99%,10.91%,$3.00 ,"$617,198 205,888 MAHA"
Blockzero Labs,XIO,"36,592,410 XIO","$5.08M $5,080,698",8.21%,37.47%,$0.14 ,"$124,214 894,616 XIO"
PlotX,PLOT,"66,318,562 PLOT","$5.10M $5,095,803",15.22%,28.88%,$0.08 ,"$1,418,124 18,455,966 PLOT"
Crust Shadow,CSM,"100,000,000 CSM","$5.07M $5,069,150",34.68%,43.25%,$0.05 ,"$87,787 1,731,798 CSM"
MediShares,MDS,"1,310,099,624 MDS","$5.04M $5,044,560",20.80%,40.49%,$0.00 ,"$549,354 142,670,250 MDS"
DATA,DTA,"11,500,000,000 DTA","$4.90M $4,899,504",23.23%,38.34%,$0.00 ,"$694,147 1,629,286,208 DTA"
Bonded Finance,BOND,"384,149,391 BOND","$5.02M $5,023,649",7.57%,29.17%,$0.01 ,"$165,532 12,657,959 BOND"
CoinPoker,CHP,"274,720,612 CHP","$5.02M $5,020,571",0.10%,3.03%,$0.02 ,$10 573 CHP
yAxis,YAXIS,"931,896 YAXIS","$4.97M $4,972,814",16.56%,33.79%,$5.34 ,"$173,647 32,541 YAXIS"
OG Fan Token,OG,"1,274,535 OG","$4.99M $4,993,378",18.84%,31.25%,$3.92 ,"$1,394,889 356,039 OG"
SakeToken,SAKE,"98,391,573 SAKE","$4.98M $4,980,275",19.33%,51.85%,$0.05 ,"$140,483 2,775,422 SAKE"
Garlicoin,GRLC,"63,845,763 GRLC","$4.94M $4,939,558",6.27%,39.61%,$0.08 ,"$12,665 163,706 GRLC"
Hord,HORD,"32,994,666 HORD","$4.94M $4,943,935",11.65%,38.20%,$0.15 ,"$133,924 893,777 HORD"
Burency,BUY,"193,878,224 BUY","$4.89M $4,891,858",16.96%,21.20%,$0.03 ,"$412,266 16,339,283 BUY"
xSuter,XSUTER,"20,000 XSUTER","$4.78M $4,782,627",0.04%,14.59%,$239.13 ,"$231,568 968 XSUTER"
hybrix,HY,"2,295,345 HY","$4.92M $4,924,451",2.99%,11.02%,$2.15 ,"$19,593 9,132 HY"
BitBall,BTB,"642,008,999 BTB","$4.90M $4,902,744",2.39%,32.06%,$0.01 ,"$990,827 129,747,721 BTB"
Linker Coin,LNC,"112,776,150 LNC","$4.90M $4,900,680",4.86%,21.38%,$0.04 ,"$9,319 214,442 LNC"
OneLedger,OLT,"454,443,188 OLT","$4.89M $4,885,402",7.08%,25.12%,$0.01 ,"$180,522 16,792,265 OLT"
Folder Protocol,FOL,"3,539,672 FOL","$4.97M $4,973,089",8.20%,15.03%,$1.40 ,"$1,038,762 739,355 FOL"
Nestree,EGG,"1,614,880,474 EGG","$4.87M $4,866,545",23.20%,30.63%,$0.00 ,"$670,748 222,576,518 EGG"
Ambrosus,AMB,"195,261,642 AMB","$4.86M $4,859,696",10.31%,29.94%,$0.02 ,"$449,451 18,058,853 AMB"
Observer,OBSR,"2,296,917,316 OBSR","$4.84M $4,838,026",20.18%,62.58%,$0.00 ,"$396,694 188,335,933 OBSR"
Ethereum Meta,ETHM,"50,010,379,198 ETHM","$4.82M $4,819,376",3.93%,29.88%,$0.00 ,"$6,739 69,925,691 ETHM"
OceanEx Token,OCE,"1,788,038,022 OCE","$4.72M $4,724,553",17.13%,35.79%,$0.00 ,"$126,462 47,860,391 OCE"
CRD Network,CRD,"1,000,000,000 CRD","$4.80M $4,802,763",3.73%,28.19%,$0.00 ,"$295 61,461 CRD"
Feathercoin,FTC,"236,600,238 FTC","$4.81M $4,809,328",14.15%,29.07%,$0.02 ,"$62,674 3,083,318 FTC"
Earneo,RNO,"254,552,776 RNO","$4.84M $4,837,541",7.40%,21.83%,$0.02 ,"$118,854 6,254,154 RNO"
