name,symbol,circulating-supply,market-cap,24h-price-change,7d-price-change,price,volume
NKN,NKN,"700,000,000 NKN","$148.95M $148,952,627",13.20%,31.39%,$0.21 ,"$12,029,633 56,533,031 NKN"
IoTeX,IOTX,"9,540,779,324 IOTX","$145.60M $145,595,164",19.75%,38.63%,$0.02 ,"$9,864,054 646,386,602 IOTX"
Serum,SRM,"50,000,000 SRM","$144.68M $144,683,820",14.29%,32.11%,$2.89 ,"$48,677,439 16,822,005 SRM"
Fetch.ai,FET,"746,113,681 FET","$144.00M $143,997,374",19.16%,34.27%,$0.19 ,"$25,942,401 134,418,979 FET"
Unibright,UBT,"149,999,999 UBT","$140.41M $140,408,065",11.13%,28.74%,$0.94 ,"$1,459,059 1,558,734 UBT"
ZB Token,ZB,"463,288,810 ZB","$139.73M $139,734,258",11.45%,20.32%,$0.30 ,"$7,462,685 24,742,526 ZB"
Status,SNT,"3,470,483,788 SNT","$139.79M $139,793,670",21.38%,47.67%,$0.04 ,"$20,184,521 501,096,041 SNT"
LockTrip,LOC,"14,952,163 LOC","$136.71M $136,712,339",11.42%,8.14%,$9.14 ,"$138,135 15,108 LOC"
Hxro,HXRO,"224,693,272 HXRO","$133.96M $133,961,409",9.09%,10.63%,$0.60 ,"$1,867,758 3,132,788 HXRO"
Ontology Gas,ONG,"277,695,513 ONG","$132.93M $132,931,906",23.15%,45.01%,$0.48 ,"$14,429,239 30,142,763 ONG"
Casper,CSPR,"590,273,359 CSPR","$131.34M $131,337,372",15.72%,11.65%,$0.22 ,"$12,799,921 57,527,058 CSPR"
Ampleforth,AMPL,"157,023,641 AMPL","$127.84M $127,835,283",1.61%,23.94%,$0.81 ,"$7,328,487 9,001,785 AMPL"
Augur,REP,"11,000,000 REP","$127.41M $127,406,174",18.21%,40.89%,$11.58 ,"$22,052,041 1,903,930 REP"
Aragon,ANT,"39,609,523 ANT","$127.60M $127,599,218",17.25%,32.30%,$3.22 ,"$18,657,272 5,791,616 ANT"
The Sandbox,SAND,"701,888,415 SAND","$125.23M $125,234,378",15.86%,36.92%,$0.18 ,"$31,278,836 175,305,320 SAND"
Enzyme,MLN,"1,792,738 MLN","$124.71M $124,706,173",15.34%,28.89%,$69.56 ,"$16,451,127 236,496 MLN"
TomoChain,TOMO,"81,777,413 TOMO","$121.32M $121,323,780",14.07%,11.73%,$1.48 ,"$13,372,025 9,013,316 TOMO"
SingularityNET,AGIX,"867,156,743 AGIX","$117.29M $117,286,808",20.30%,35.56%,$0.14 ,"$1,060,071 7,837,606 AGIX"
BitShares,BTS,"2,994,320,000 BTS","$118.71M $118,712,288",14.49%,24.68%,$0.04 ,"$15,520,489 391,478,524 BTS"
Ultra,UOS,"282,789,762 UOS","$118.86M $118,858,837",16.01%,12.31%,$0.42 ,"$2,761,034 6,569,072 UOS"
Civic,CVC,"670,000,000 CVC","$117.14M $117,137,616",14.51%,36.40%,$0.17 ,"$34,470,739 197,164,636 CVC"
StormX,STMX,"8,640,900,054 STMX","$115.65M $115,649,940",20.25%,41.91%,$0.01 ,"$11,473,029 857,218,734 STMX"
Travala.com,AVA,"49,726,510 AVA","$110.88M $110,877,070",10.13%,24.21%,$2.23 ,"$4,540,992 2,036,559 AVA"
Balancer,BAL,"6,943,831 BAL","$110.41M $110,414,924",8.81%,36.21%,$15.90 ,"$32,113,919 2,019,597 BAL"
RSK Infrastructure Framework,RIF,"742,686,676 RIF","$108.68M $108,682,450",5.93%,25.34%,$0.15 ,"$4,058,076 27,731,054 RIF"
Ardor,ARDR,"998,999,495 ARDR","$106.76M $106,763,644",21.29%,40.71%,$0.11 ,"$6,777,562 63,418,418 ARDR"
